"","x"
"EDF1","mistyrose2"
"PFN1","mistyrose2"
"TUBB","mistyrose2"
"CKB","mistyrose2"
"TUBA1A","mistyrose2"
"HSPE1","mistyrose2"
"HNRNPDL","mistyrose2"
"TUBA1B","mistyrose2"
"H2AFZ","mistyrose2"
"RAN","mistyrose2"
"ILF2","mistyrose2"
"SRSF7","mistyrose2"
"PKM","mistyrose2"
"HMGN2","mistyrose2"
"SNRPB","mistyrose2"
"TPI1","mistyrose2"
"SNRPD1","mistyrose2"
"SNRPG","mistyrose2"
"RANBP1","mistyrose2"
"HN1","mistyrose2"
"HSPA8","mistyrose2"
"PGRMC1","mistyrose2"
"UBE2I","mistyrose2"
"HNRNPH1","mistyrose2"
"GLRX5","mistyrose2"
"PPP1R14B","mistyrose2"
"BSG","mistyrose2"
"NME1","mistyrose2"
"ODC1","mistyrose2"
"HNRNPAB","mistyrose2"
"METRN","mistyrose2"
"MTRNR2L12","mistyrose2"
"DUT","mistyrose2"
"RPA3","mistyrose2"
"SNRPA1","mistyrose2"
"CKS1B","mistyrose2"
"ISYNA1","mistyrose2"
"HNRNPF","mistyrose2"
"CARHSP1","mistyrose2"
"CDK4","mistyrose2"
"NUTF2","mistyrose2"
"CSRP2","mistyrose2"
"HMGB3","mistyrose2"
"PDCD5","mistyrose2"
"SIVA1","mistyrose2"
"CENPV","mistyrose2"
"TYMS","mistyrose2"
"ASPM","mistyrose2"
"CENPM","mistyrose2"
"FEN1","mistyrose2"
"CCNB2","mistyrose2"
"RFC4","mistyrose2"
"ZWINT","mistyrose2"
"NUSAP1","mistyrose2"
"POP7","mistyrose2"
"CENPW","mistyrose2"
"RPA2","mistyrose2"
"HIST1H1B","mistyrose2"
"CDCA3","mistyrose2"
"CDC20","mistyrose2"
"FAM64A","mistyrose2"
"CCNB1","mistyrose2"
"AURKB","mistyrose2"
"DLGAP5","mistyrose2"
"CDK1","mistyrose2"
"HIST1H1C","mistyrose2"
"GMNN","mistyrose2"
"PHGDH","mistyrose2"
"MDH1","mistyrose2"
"IDH2","mistyrose2"
"FABP5","mistyrose2"
"VDAC3","mistyrose2"
"PTTG1","mistyrose2"
"CENPU","mistyrose2"
"RNASEH2A","mistyrose2"
"SNRNP40","mistyrose2"
"ARL6IP1","mistyrose2"
"C9orf142","mistyrose2"
"STRA13","mistyrose2"
"PGP","mistyrose2"
"EIF4A3","mistyrose2"
"PRDX4","mistyrose2"
"ALYREF","mistyrose2"
"EXOSC8","mistyrose2"
"BIRC5","mistyrose2"
"MRPS26","mistyrose2"
"GINS2","mistyrose2"
"UBE2S","mistyrose2"
"DTYMK","mistyrose2"
"KIAA0101","mistyrose2"
"CKS2","mistyrose2"
"MCM7","mistyrose2"
"HMGB2","mistyrose2"
"KPNA2","mistyrose2"
"HIST1H4C","mistyrose2"
"TUBB4B","mistyrose2"
"UBE2C","mistyrose2"
"UBE2T","mistyrose2"
"H2AFX","mistyrose2"
"MAD2L1","mistyrose2"
"IRF9","blue"
"TRIM14","blue"
"PARP12","blue"
"TAPBP","blue"
"EPSTI1","blue"
"PLEKHA4","blue"
"ZNFX1","blue"
"SLC15A3","blue"
"OAS2","blue"
"SP100","blue"
"RNF213","blue"
"APOL2","blue"
"HERC6","blue"
"IGFBP5","blue"
"CACNG8","blue"
"GNB4","blue"
"ID2","blue"
"NAPA","blue"
"PPM1K","blue"
"CALD1","blue"
"BTG1","blue"
"MT-ND6","blue"
"KCNQ1OT1","blue"
"RBCK1","blue"
"CNP","blue"
"VCAM1","blue"
"RPS20","blue"
"MT-ND1","blue"
"RPL7","blue"
"RPS11","blue"
"MT-ND5","blue"
"RPL31","blue"
"MT-ND2","blue"
"RPL23","blue"
"RPS16","blue"
"DNAJA1","blue"
"MT-ND4","blue"
"EIF3E","blue"
"RPL9","blue"
"MT-CO1","blue"
"RPL23A","blue"
"SP110","blue"
"IFIH1","blue"
"LY6E","blue"
"ZC3HAV1","blue"
"OGFR","blue"
"TRIM5","blue"
"RPL13A","blue"
"RPL21","blue"
"CHMP5","blue"
"SPATS2L","blue"
"AGTRAP","blue"
"SHISA5","blue"
"DDX60","blue"
"OAS3","blue"
"PML","blue"
"TRIM69","blue"
"RPS14","chocolate1"
"RPS10","chocolate1"
"RPS8","chocolate1"
"RPL37A","chocolate1"
"RPS2","chocolate1"
"MT-CO3","chocolate1"
"MT-ATP6","chocolate1"
"MT-CYB","chocolate1"
"H3F3B","red"
"MSMO1","red"
"FDFT1","red"
"IDI1","red"
"SLC3A2","red"
"IER2","red"
"JUN","red"
"VGF","red"
"AGRN","red"
"UPP1","red"
"TIMP1","red"
"RARRES3","red"
"TNFRSF12A","red"
"PSMB8","red"
"PSMB9","red"
"SLC25A6","red"
"RPS3A","red"
"RPS6","red"
"RPSA","red"
"RPL36A","red"
"SOX4","red"
"ACAT2","red"
"RPL27A","red"
"RPLP0","red"
"MT-ND3","red"
"NT5DC2","red"
"MDK","red"
"CLIC1","red"
"GNG5","red"
"SERPING1","red"
"EMP3","red"
"HLA-A","red"
"MYL12A","red"
"HSP90B1","red"
"HSPA5","red"
"CALR","red"
"MANF","red"
"PDIA6","red"
"NES","red"
"DDIT3","red"
"PDIA3","red"
"HERPUD1","red"
"TMEM50B","red"
"SCD","red"
"PMAIP1","red"
"DNAJB11","red"
"PDIA4","red"
"ISG15","darkgreen"
"IFI44L","yellow2"
"IFI6","yellow2"
"IFIT1","yellow2"
"MX1","magenta2"
"PARP14","magenta2"
"PLSCR1","magenta2"
"IFIT3","magenta2"
"IFITM3","magenta2"
"STAT1","magenta2"
"B2M","magenta2"
"EIF2AK2","magenta2"
"BST2","deepskyblue"
"PSME2","deepskyblue"
"UBE2L6","deepskyblue"
"HLA-C","deepskyblue"
"IFI44","deepskyblue"
"HES4","deepskyblue"
"LAP3","deepskyblue"
"HLA-B","deepskyblue"
"LGALS3BP","deepskyblue"
"DDX58","green"
"PNPT1","green"
"IRF7","green"
"HERC5","green"
"USP18","green"
"IFI27","green"
"IFI16","green"
"IFIT5","green"
"IFIT2","green"
"IFI35","green"
"STAT2","green"
"PSME1","green"
"TRIM22","green"
"PARP9","green"
"TAP1","green"
"OAS1","green"
"HLA-E","green"
"MT2A","green"
"DDX60L","green"
"SAMD9","green"
"DTX3L","green"
"SAMHD1","green"
"CMPK2","green"
"TRIM25","green"
"C19orf66","green"
"ADAR","green"
"HELZ2","green"
