"","cluster","LFC.DEgenes_sig_Astrocytes_DD_NP_ZIKV_Astrocytes_DD_NP_Mock2zika_GM_ZIKA_Astrocytes2mock","LFC.DEgenes_sig_Astrocytes_GM_NP_ZIKV_Astrocytes_GM_NP_Mock2zika_GM_ZIKA_Astrocyte2mocks","LFC.DEgenes_sig_Early Neurons_DD_NP_ZIKV_Early Neurons_DD_NP_Mock2zika_GM_ZIKA_Neurons2mock","LFC.DEgenes_sig_Early Neurons_GM_NP_ZIKV_Early Neurons_GM_NP_Mock2zika_GM_ZIKA_Neurons2mock","LFC.DEgenes_sig_Neurons_DD_NP_ZIKV_Neurons_DD_NP_Mock2zika_GM_ZIKA_Neurons2mock","LFC.DEgenes_sig_Neurons_GM_NP_ZIKV_Neurons_GM_NP_Mock2zika_GM_ZIKA_Neurons2mock","LFC.DEgenes_sig_NPC_DD_NP_ZIKV_NPC_DD_NP_Mock2zika_DD_ZIKA_NPC2mock","LFC.DEgenes_sig_NPC_GM_NP_IFNb_NPC_GM_NP_Mock_GM_IFNb_NPC","LFC.DEgenes_sig_NPC_GM_NP_ZIKV_NPC_GM_NP_Mock2zika_GM_ZIKA_NPC2mock","LFC.DEgenes_sig_Oligodendrocyte_DD_NP_ZIKV_Oligodendrocyte_DD_NP_Mock2zika_GM_ZIKA_Oligodendrocyte2mock","LFC.DEgenes_sig_Oligodendrocyte_GM_NP_ZIKV_Oligodendrocyte_GM_NP_Mock2zika_GM_ZIKA_Oligodendrocyte2mock","pct.DEgenes_sig_Astrocytes_DD_NP_ZIKV_Astrocytes_DD_NP_Mock2zika_GM_ZIKA_Astrocytes2mock","pct.DEgenes_sig_Astrocytes_GM_NP_ZIKV_Astrocytes_GM_NP_Mock2zika_GM_ZIKA_Astrocyte2mocks","pct.DEgenes_sig_Early Neurons_DD_NP_ZIKV_Early Neurons_DD_NP_Mock2zika_GM_ZIKA_Neurons2mock","pct.DEgenes_sig_Early Neurons_GM_NP_ZIKV_Early Neurons_GM_NP_Mock2zika_GM_ZIKA_Neurons2mock","pct.DEgenes_sig_Neurons_DD_NP_ZIKV_Neurons_DD_NP_Mock2zika_GM_ZIKA_Neurons2mock","pct.DEgenes_sig_Neurons_GM_NP_ZIKV_Neurons_GM_NP_Mock2zika_GM_ZIKA_Neurons2mock","pct.DEgenes_sig_NPC_DD_NP_ZIKV_NPC_DD_NP_Mock2zika_DD_ZIKA_NPC2mock","pct.DEgenes_sig_NPC_GM_NP_IFNb_NPC_GM_NP_Mock_GM_IFNb_NPC","pct.DEgenes_sig_NPC_GM_NP_ZIKV_NPC_GM_NP_Mock2zika_GM_ZIKA_NPC2mock","pct.DEgenes_sig_Oligodendrocyte_DD_NP_ZIKV_Oligodendrocyte_DD_NP_Mock2zika_GM_ZIKA_Oligodendrocyte2mock","pct.DEgenes_sig_Oligodendrocyte_GM_NP_ZIKV_Oligodendrocyte_GM_NP_Mock2zika_GM_ZIKA_Oligodendrocyte2mock"
"MT-ND4","blue",NA,NA,NA,NA,NA,NA,NA,0.42558996301318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.996,NA,NA,NA
"EIF3E","blue",NA,NA,NA,NA,NA,NA,NA,0.309200958007592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,NA,NA,NA
"RPL9","blue",NA,NA,NA,NA,NA,NA,NA,0.281465030251024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"MT-CO1","blue",NA,NA,NA,NA,NA,NA,NA,0.283041378388195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999,NA,NA,NA
"RPL23A","blue",NA,NA,NA,NA,NA,NA,NA,0.284139915827061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999,NA,NA,NA
"SP110","blue",NA,NA,NA,NA,NA,NA,0.346994622932213,0.963264143129835,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.288,0.43,NA,NA,NA
"IFIH1","blue",NA,NA,NA,NA,NA,NA,0.308532646743373,1.12147010339962,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.209,0.546,NA,NA,NA
"LY6E","blue",NA,NA,NA,NA,NA,NA,0.334813484258637,1.01179290601677,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175,0.579,NA,NA,NA
"ZC3HAV1","blue",NA,NA,NA,NA,NA,NA,NA,1.24845125377668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.739,NA,NA,NA
"OGFR","blue",NA,NA,NA,NA,NA,NA,NA,0.769682966532103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.596,NA,NA,NA
"TRIM5","blue",NA,NA,NA,NA,NA,NA,NA,0.753573491057875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,NA,NA,NA
"RPL13A","blue",NA,NA,NA,NA,NA,NA,-0.286337324077816,1.04564092911351,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.807,0.999,NA,NA,NA
"RPL21","blue",NA,NA,NA,NA,NA,NA,-0.275629492646654,0.29491855748605,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.994,1,NA,NA,NA
"CHMP5","blue",NA,NA,NA,NA,NA,NA,0.273450758456567,0.359907050188298,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.787,0.632,NA,NA,NA
"SPATS2L","blue",NA,NA,NA,NA,NA,NA,0.286006835111991,0.347155121377283,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.755,0.49,NA,NA,NA
"AGTRAP","blue",NA,NA,NA,NA,NA,NA,0.278751801107022,0.305065580314414,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.521,0.474,NA,NA,NA
"SHISA5","blue",NA,NA,NA,NA,NA,NA,0.348364967296675,0.522719639717011,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.529,0.521,NA,NA,NA
"DDX60","blue",NA,NA,NA,NA,NA,NA,0.28543068140313,0.464886660223405,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.245,0.282,NA,NA,NA
"OAS3","blue",NA,NA,NA,NA,NA,NA,0.494247230777152,0.757709347281826,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.328,0.35,NA,NA,NA
"PML","blue",NA,NA,NA,NA,NA,NA,0.33331050661436,0.653629679706964,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,0.526,NA,NA,NA
"TRIM69","blue",NA,NA,NA,NA,NA,NA,0.303748117009632,0.631861630812795,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.402,0.457,NA,NA,NA
"RPS14","chocolate1",-0.341668404344546,NA,NA,NA,NA,NA,-0.27889497330256,NA,NA,NA,NA,0.993,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"RPS10","chocolate1",-0.352439053986666,NA,NA,NA,NA,NA,-0.264555044648808,NA,NA,-0.356987063040535,NA,0.981,NA,NA,NA,NA,NA,0.994,NA,NA,0.98,NA
"RPS8","chocolate1",-0.329273601805802,NA,NA,NA,NA,NA,-0.318117651545857,NA,NA,-0.404575825164312,NA,0.992,NA,NA,NA,NA,NA,1,NA,NA,0.984,NA
"RPL37A","chocolate1",-0.345314724414734,NA,-0.305521111652837,NA,-0.262459819616649,NA,-0.391275327783283,0.400877883301654,NA,NA,NA,0.972,NA,0.961,NA,0.956,NA,0.988,1,NA,NA,NA
"RPS2","chocolate1",-0.381233269601053,NA,NA,NA,NA,NA,-0.319554783831049,0.746417766116498,NA,-0.452678941370869,NA,0.969,NA,NA,NA,NA,NA,0.992,1,NA,0.98,NA
"MT-CO3","chocolate1",-0.352838005517677,NA,NA,NA,NA,NA,-0.374765923545214,0.461702189191846,NA,NA,NA,0.96,NA,NA,NA,NA,NA,0.994,0.999,NA,NA,NA
"MT-ATP6","chocolate1",-0.286382159263868,NA,NA,NA,NA,NA,-0.331259020211678,0.340341281889508,NA,NA,NA,0.967,NA,NA,NA,NA,NA,0.994,0.999,NA,NA,NA
"MT-CYB","chocolate1",-0.281325858905851,NA,NA,NA,NA,NA,-0.313907928415288,0.386757936915264,NA,NA,NA,0.957,NA,NA,NA,NA,NA,0.994,0.996,NA,NA,NA
"H3F3B","red",0.267753781054728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MSMO1","red",0.381657344580643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FDFT1","red",0.268670951623968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDI1","red",0.314773226547657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLC3A2","red",0.302603756285321,NA,NA,0.337915845244429,NA,NA,NA,NA,NA,NA,NA,0.568,NA,NA,0.323,NA,NA,NA,NA,NA,NA,NA
"IER2","red",0.26053931157742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JUN","red",0.28777992476213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VGF","red",0.351683189353909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGRN","red",0.288740720140661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UPP1","red",0.306716297436158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TIMP1","red",0.267518981247523,NA,NA,NA,NA,NA,0.398791972966601,NA,NA,NA,NA,0.89,NA,NA,NA,NA,NA,0.827,NA,NA,NA,NA
"RARRES3","red",0.288701600925382,NA,NA,NA,NA,NA,0.304785699719776,NA,NA,NA,NA,0.29,NA,NA,NA,NA,NA,0.262,NA,NA,NA,NA
"TNFRSF12A","red",0.513543420203148,NA,NA,NA,NA,NA,0.411973033076163,NA,NA,NA,NA,0.49,NA,NA,NA,NA,NA,0.336,NA,NA,NA,NA
"PSMB8","red",0.391854249504679,NA,NA,NA,NA,NA,0.478457648185685,NA,NA,NA,NA,0.421,NA,NA,NA,NA,NA,0.535,NA,NA,NA,NA
"PSMB9","red",0.314412536852834,NA,NA,NA,NA,NA,0.464428723542066,NA,NA,NA,NA,0.243,NA,NA,NA,NA,NA,0.457,NA,NA,NA,NA
"SLC25A6","red",-0.287947862718952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RPS3A","red",-0.271328594714159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RPS6","red",-0.282237958377306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RPSA","red",-0.291656424139068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RPL36A","red",-0.310597514552704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOX4","red",-0.456329849713843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACAT2","red",0.315193154320992,NA,NA,NA,NA,NA,NA,-0.301134725271024,NA,NA,NA,0.721,NA,NA,NA,NA,NA,NA,0.858,NA,NA,NA
"RPL27A","red",-0.32177329764676,NA,NA,NA,NA,NA,NA,0.449351079346965,NA,NA,NA,0.906,NA,NA,NA,NA,NA,NA,0.999,NA,NA,NA
"RPLP0","red",-0.287514512934265,NA,NA,NA,NA,NA,NA,0.295353869235605,NA,NA,NA,0.959,NA,NA,NA,NA,NA,NA,0.998,NA,NA,NA
"MT-ND3","red",NA,NA,NA,NA,NA,NA,-0.30785131590238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99,NA,NA,NA,NA
"NT5DC2","red",NA,NA,NA,NA,NA,NA,-0.330560437089731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.682,NA,NA,NA,NA
"MDK","red",NA,NA,NA,NA,NA,NA,0.404278447474332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.938,NA,NA,NA,NA
"CLIC1","red",NA,NA,NA,NA,NA,NA,0.31731312420062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA,NA
"GNG5","red",NA,NA,NA,NA,NA,NA,0.273690090288193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.982,NA,NA,NA,NA
"SERPING1","red",NA,NA,NA,NA,NA,NA,0.340366852433514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.523,NA,NA,NA,NA
"EMP3","red",NA,NA,NA,NA,NA,NA,0.349055946303557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.722,NA,NA,NA,NA
"HLA-A","red",NA,NA,NA,NA,NA,NA,0.290533398787703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.742,NA,NA,NA,NA
"MYL12A","red",NA,NA,NA,NA,NA,NA,0.277874689281671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.748,NA,NA,NA,NA
"HSP90B1","red",NA,0.362193480137091,NA,0.622456623011816,NA,0.702678502503154,NA,NA,NA,NA,NA,NA,0.766,NA,0.625,NA,0.898,NA,NA,NA,NA,NA
"HSPA5","red",NA,0.433238451701199,NA,0.551578042624055,NA,0.662614695221555,NA,NA,0.35368049041323,NA,NA,NA,0.692,NA,0.577,NA,0.833,NA,NA,0.696,NA,NA
"CALR","red",NA,0.2686389706348,NA,0.337819390106858,NA,NA,NA,NA,NA,NA,NA,NA,0.761,NA,0.652,NA,NA,NA,NA,NA,NA,NA
"MANF","red",NA,NA,NA,0.303150427083752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.426,NA,NA,NA,NA,NA,NA,NA
"PDIA6","red",NA,NA,NA,0.284329236193519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.713,NA,NA,NA,NA,NA,NA,NA
"NES","red",NA,NA,NA,NA,NA,-0.347820795815748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.862,NA,NA,NA,NA,NA
"DDIT3","red",0.2885272181277,NA,NA,0.301045130222356,NA,0.659041250766167,NA,NA,NA,NA,NA,0.323,NA,NA,0.194,NA,0.402,NA,NA,NA,NA,NA
"PDIA3","red",NA,NA,NA,NA,NA,0.405048675955749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.851,NA,NA,NA,NA,NA
"HERPUD1","red",NA,NA,NA,NA,NA,0.599100102580719,NA,NA,0.295587588601802,NA,NA,NA,NA,NA,NA,NA,0.478,NA,NA,0.209,NA,NA
"TMEM50B","red",NA,NA,NA,NA,NA,0.288116603559284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.276,NA,NA,NA,NA,NA
"SCD","red",NA,NA,NA,NA,NA,0.479707513274012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.609,NA,NA,NA,NA,NA
"PMAIP1","red",NA,NA,NA,NA,NA,0.436041544980713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.349,NA,NA,NA,NA,NA
"DNAJB11","red",NA,NA,NA,NA,NA,0.41306102781741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.458,NA,NA,NA,NA,NA
"PDIA4","red",NA,NA,NA,NA,NA,0.408463831870603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.498,NA,NA,NA,NA,NA
"ISG15","darkgreen",3.86212426458739,NA,2.58200964831165,NA,1.84307777826858,NA,4.14540219027165,4.87604034750165,NA,3.51450450776173,NA,0.892,NA,0.673,NA,0.7,NA,0.92,0.957,NA,0.881,NA
"IFI44L","yellow2",2.28840617194582,NA,1.31472361029802,NA,0.721915458270741,NA,2.52897702679877,1.47446083402103,NA,1.94302303373396,NA,0.734,NA,0.382,NA,0.257,NA,0.815,0.334,NA,0.668,NA
"IFI6","yellow2",2.62666029126843,NA,1.82618091171946,NA,1.49873025528174,NA,2.65775500882221,3.39742557641281,NA,2.31693260115417,NA,0.864,NA,0.594,NA,0.651,NA,0.899,0.925,NA,0.803,NA
"IFIT1","yellow2",2.19607135049546,NA,1.41200502168424,NA,1.24574944238893,NA,2.41754610497292,3.33696385784197,NA,2.06370561594297,NA,0.731,NA,0.458,NA,0.493,NA,0.789,0.92,NA,0.631,NA
"MX1","magenta2",1.16629934211662,NA,0.345340720424294,NA,NA,NA,1.40490717981245,2.7953967788374,NA,0.873492770304434,NA,0.364,NA,0.104,NA,NA,NA,0.465,0.73,NA,0.266,NA
"PARP14","magenta2",0.684504042997173,NA,0.270213201121598,NA,NA,NA,0.874988474083303,2.05695070013766,NA,0.584812614998926,NA,0.41,NA,0.133,NA,NA,NA,0.543,0.713,NA,0.295,NA
"PLSCR1","magenta2",0.89390808057033,NA,0.460042528539365,NA,NA,NA,1.22499460769041,1.70354469730851,NA,0.651347491588015,NA,0.419,NA,0.242,NA,NA,NA,0.674,0.862,NA,0.32,NA
"IFIT3","magenta2",1.07062688062096,NA,0.484608045675105,NA,0.615547174343502,NA,1.39941465978863,1.92117358263116,NA,1.08690744057494,NA,0.417,NA,0.185,NA,0.255,NA,0.529,0.653,NA,0.336,NA
"IFITM3","magenta2",1.47662462034161,NA,0.912780490551771,NA,0.475466494814988,NA,1.92401635359672,2.12256255322983,NA,1.14258772969144,NA,0.79,NA,0.364,NA,0.254,NA,0.817,0.729,NA,0.705,NA
"STAT1","magenta2",1.1972383409652,NA,0.915316762732945,NA,0.92458576320537,NA,1.33579733945175,2.64518358351779,NA,0.914392575469755,NA,0.646,NA,0.591,NA,0.564,NA,0.742,0.942,NA,0.537,NA
"B2M","magenta2",0.897249154148463,NA,0.870090677405567,NA,0.74663007036554,NA,1.16453103330649,1.94292237336523,NA,0.80022622927721,NA,0.991,NA,0.815,NA,0.818,NA,0.998,0.91,NA,0.967,NA
"EIF2AK2","magenta2",0.953299785489952,NA,0.635050037223342,NA,0.518913958500594,NA,1.08087295690189,1.93665399889378,NA,0.821810568284252,NA,0.704,NA,0.593,NA,0.525,NA,0.863,0.942,NA,0.611,NA
"BST2","deepskyblue",1.55887215874523,NA,0.585724942859309,NA,NA,NA,1.43975170654099,0.793328115512091,NA,0.973144508173294,NA,0.414,NA,0.114,NA,NA,NA,0.461,0.28,NA,0.213,NA
"PSME2","deepskyblue",0.478982837133096,NA,0.276658836399499,NA,NA,NA,0.679804020343562,0.719099269335532,NA,0.451754756977647,NA,0.725,NA,0.554,NA,NA,NA,0.851,0.789,NA,0.672,NA
"UBE2L6","deepskyblue",0.653332633548996,NA,0.370674862970744,NA,NA,NA,0.809486536141113,0.331343942554712,NA,0.483140664993101,NA,0.765,NA,0.614,NA,NA,NA,0.753,0.484,NA,0.717,NA
"HLA-C","deepskyblue",0.726112944595454,NA,0.363160923211226,NA,0.279201167150241,NA,0.815245131585247,0.406116707432958,NA,0.862542303320735,NA,0.61,NA,0.263,NA,0.165,NA,0.702,0.36,NA,0.553,NA
"IFI44","deepskyblue",0.794695694619053,NA,0.484024873941478,NA,NA,NA,0.960212171054525,0.664333303548762,NA,0.61970984069311,NA,0.408,NA,0.239,NA,NA,NA,0.571,0.286,NA,0.32,NA
"HES4","deepskyblue",0.531101146616,NA,0.271985605519961,NA,0.290781118812875,NA,0.570182669257453,0.652687270463885,NA,0.664927267497941,NA,0.56,NA,0.707,NA,0.825,NA,0.722,0.874,NA,0.615,NA
"LAP3","deepskyblue",0.741044196102452,NA,0.409302504798185,NA,0.262524497482216,NA,1.10166325957264,1.30389245327817,NA,0.620631314032146,NA,0.644,NA,0.375,NA,0.218,NA,0.799,0.828,NA,0.574,NA
"HLA-B","deepskyblue",0.782296280872187,NA,0.632209748800111,NA,0.400606325500892,NA,1.04264031131838,0.84432563186265,NA,0.717452579289956,NA,0.873,NA,0.599,NA,0.531,NA,0.938,0.643,NA,0.832,NA
"LGALS3BP","deepskyblue",0.863255960709566,NA,0.616303059793585,NA,0.470204384196749,NA,1.04665009329882,0.897753028946474,NA,0.693622299114762,NA,0.728,NA,0.572,NA,0.426,NA,0.799,0.472,NA,0.631,NA
"DDX58","green",0.483866670846293,NA,NA,NA,NA,NA,0.612426943484294,1.67966140252774,NA,0.38901067176522,NA,0.284,NA,NA,NA,NA,NA,0.396,0.786,NA,0.217,NA
"PNPT1","green",0.532153003968441,NA,NA,NA,NA,NA,0.692354906629326,1.40742476542591,NA,0.480773650449185,NA,0.399,NA,NA,NA,NA,NA,0.577,0.822,NA,0.352,NA
"IRF7","green",0.686217489027107,NA,NA,NA,NA,NA,0.907382987781233,0.888349576363784,NA,0.625634674650215,NA,0.407,NA,NA,NA,NA,NA,0.543,0.594,NA,0.316,NA
"HERC5","green",0.584083721175821,NA,NA,NA,NA,NA,0.77441963651735,1.24696754099172,NA,0.480773650449185,NA,0.264,NA,NA,NA,NA,NA,0.382,0.518,NA,0.172,NA
"USP18","green",0.598976584577817,NA,NA,NA,NA,NA,0.87221186187959,1.20394575381684,NA,0.396240140237517,NA,0.344,NA,NA,NA,NA,NA,0.531,0.63,NA,0.254,NA
"IFI27","green",0.662856238665263,NA,NA,NA,NA,NA,0.76480813815491,1.61287592248352,NA,NA,NA,0.336,NA,NA,NA,NA,NA,0.326,0.351,NA,NA,NA
"IFI16","green",0.714543950352571,NA,0.465712296408354,NA,0.292365920894808,NA,0.976230864682215,1.5132984063593,NA,NA,NA,0.626,NA,0.463,NA,0.31,NA,0.769,0.586,NA,NA,NA
"IFIT5","green",0.447780767429918,NA,0.304969594127606,NA,NA,NA,0.717868327370397,1.30251575487934,NA,NA,NA,0.34,NA,0.357,NA,NA,NA,0.511,0.792,NA,NA,NA
"IFIT2","green",0.481830532521467,NA,NA,NA,NA,NA,0.396976576928782,0.640589596391007,NA,0.87125404548405,NA,0.245,NA,NA,NA,NA,NA,0.209,0.221,NA,0.189,NA
"IFI35","green",0.421294750784966,NA,NA,NA,NA,NA,0.448390769964207,0.28453247350366,NA,0.313954559874694,NA,0.227,NA,NA,NA,NA,NA,0.262,0.146,NA,0.148,NA
"STAT2","green",0.36616036655599,NA,NA,NA,NA,NA,0.333865236930792,0.558348242095187,NA,0.447090524192896,NA,0.324,NA,NA,NA,NA,NA,0.326,0.398,NA,0.266,NA
"PSME1","green",0.288366687704393,NA,0.278250904599167,NA,NA,NA,0.315653905975182,0.66887714887603,NA,NA,NA,0.727,NA,0.444,NA,NA,NA,0.801,0.783,NA,NA,NA
"TRIM22","green",0.493009596393358,NA,NA,NA,NA,NA,0.521159645304258,0.763314954621961,NA,NA,NA,0.397,NA,NA,NA,NA,NA,0.477,0.421,NA,NA,NA
"PARP9","green",0.376788292020328,NA,NA,NA,NA,NA,0.472973907539101,0.486116770164529,NA,NA,NA,0.346,NA,NA,NA,NA,NA,0.465,0.348,NA,NA,NA
"TAP1","green",0.390710879319482,NA,NA,NA,NA,NA,0.460124873799092,0.460775509808847,NA,NA,NA,0.329,NA,NA,NA,NA,NA,0.4,0.27,NA,NA,NA
"OAS1","green",0.493947993190111,NA,NA,NA,NA,NA,0.864446762078072,0.690541779221707,NA,0.268935007273478,NA,0.205,NA,NA,NA,NA,NA,0.39,0.324,NA,0.111,NA
"HLA-E","green",0.520219570512068,NA,NA,NA,NA,NA,0.719921012147638,0.529620573024864,NA,NA,NA,0.465,NA,NA,NA,NA,NA,0.559,0.322,NA,NA,NA
"MT2A","green",0.636831376378203,NA,NA,NA,NA,NA,0.799179907878591,0.652621697826935,NA,NA,NA,0.546,NA,NA,NA,NA,NA,0.732,0.424,NA,NA,NA
"DDX60L","green",0.38679530030239,NA,NA,NA,NA,NA,0.444403382217234,0.821577183081308,NA,NA,NA,0.227,NA,NA,NA,NA,NA,0.288,0.38,NA,NA,NA
"SAMD9","green",0.335445980960666,NA,NA,NA,NA,NA,0.44718802288255,0.942108321512011,NA,NA,NA,0.177,NA,NA,NA,NA,NA,0.231,0.346,NA,NA,NA
"DTX3L","green",0.285489444025991,NA,NA,NA,NA,NA,0.453296832465196,0.697476296642277,NA,NA,NA,0.243,NA,NA,NA,NA,NA,0.394,0.46,NA,NA,NA
"SAMHD1","green",0.317658733233166,NA,NA,NA,NA,NA,0.377684599250423,0.712817845389491,NA,NA,NA,0.234,NA,NA,NA,NA,NA,0.346,0.464,NA,NA,NA
"CMPK2","green",0.290524292965084,NA,NA,NA,NA,NA,0.428044046975185,0.780797331123551,NA,NA,NA,0.17,NA,NA,NA,NA,NA,0.264,0.471,NA,NA,NA
"TRIM25","green",0.278629606939706,NA,NA,NA,NA,NA,0.334149739473344,0.829026446203367,NA,NA,NA,0.232,NA,NA,NA,NA,NA,0.278,0.525,NA,NA,NA
"C19orf66","green",0.555092519886144,NA,NA,NA,0.286997821022787,NA,0.590074332354755,1.06209463964141,NA,NA,NA,0.405,NA,NA,NA,0.241,NA,0.443,0.572,NA,NA,NA
"ADAR","green",0.318753553264876,NA,NA,NA,NA,NA,0.428124589986108,0.874560820202782,NA,NA,NA,0.415,NA,NA,NA,NA,NA,0.557,0.781,NA,NA,NA
"HELZ2","green",0.336988145769072,NA,NA,NA,NA,NA,0.517253022910984,0.974764183957799,NA,NA,NA,0.238,NA,NA,NA,NA,NA,0.356,0.621,NA,NA,NA
